index,Pair.Name,protein_name_a,Ligand.Name,protein_name_b,Receptor.Name,complex_pair,partner_a,partner_b,source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,sources,references,curation_effort,n_references,n_resources,annotation_strategy,db,True_LR
588,CCL8_ACKR2,CCL8,C-C motif chemokine ligand 8,ACKR2,atypical chemokine receptor 2,,P80075,O00590,OmniPath,O00590,CCL8,ACKR2,1,1,0,1,1,0,Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr,Baccin2019:9364936;Baccin2019:9405404;CellChatDB:26740381;CellPhoneDB:24218476;Cellinker:26740381;Cellinker:9405404;HPRD:9405404;ICELLNET:22633458;InnateDB:9405404;LRdb:10699158;connectomeDB2020:9405404,11,6,13,LR,both,True
589,CCL8_ACKR4,CCL8,C-C motif chemokine ligand 8,ACKR4,atypical chemokine receptor 4,,P80075,Q9NPB9,OmniPath,Q9NPB9,CCL8,ACKR4,1,1,0,1,1,0,Baccin2019;CellChatDB;CellTalkDB;Cellinker;DIP;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr,Baccin2019:10734104;CellChatDB:26740381;CellTalkDB:10734104;Cellinker:10734104;Cellinker:26740381;DIP:10734104;HPRD:10734104;HPRD:9405404;InnateDB:10734104;LRdb:10734104;connectomeDB2020:10734104,11,3,12,LR,both,True
590,CCL8_CCR1,CCL8,C-C motif chemokine ligand 8,CCR1,C-C motif chemokine receptor 1,,P80075,P32246,OmniPath,P32246,CCL8,CCR1,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;KEGG-MEDICUS;Kirouac2010;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:76793288631787;CellPhoneDB:24218476;Cellinker:9115216;DIP:9115216;HPRD:9115216;ICELLNET:22633458;InnateDB:9115216;LRdb:10699158;connectomeDB2020:9115216,9,5,20,LR,both,True
591,CCL8_CCR10,CCL8,C-C motif chemokine ligand 8,CCR10,C-C motif chemokine receptor 10,,P80075,P46092,OmniPath,P46092,CCL8,CCR10,1,1,0,1,1,0,Baccin2019;Ramilowski2015_Baccin2019;Wang,Baccin2019:10706668;Baccin2019:9364936,2,2,2,LR,LR,True
592,CCL8_CCR2,CCL8,C-C motif chemokine ligand 8,CCR2,C-C motif chemokine receptor 2,,P80075,P41597,OmniPath,P41597,CCL8,CCR2,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;KEGG-MEDICUS;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:10529171;Baccin2019:10770925;Baccin2019:12554737;Baccin2019:15207250;Baccin2019:9276730;Baccin2019:9287323;Baccin2019:9346309;CellPhoneDB:24218476;Cellinker:12149192;Cellinker:12554737;Cellinker:9115216;DIP:9115216;DIP:9195948;Guide2Pharma:12554737;HPRD:12149192;HPRD:9115216;ICELLNET:22633458;InnateDB:9115216;LRdb:10699158;connectomeDB2020:12149192;connectomeDB2020:12554737;connectomeDB2020:9115216;scConnect:12554737,23,13,19,LR,both,True
593,CCL8_CCR3,CCL8,C-C motif chemokine ligand 8,CCR3,C-C motif chemokine receptor 3,,P80075,P51677,OmniPath,P51677,CCL8,CCR3,1,1,0,1,1,0,Baccin2019;CellCall;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:8642344;CellPhoneDB:24218476;Cellinker:9005985;HPRD:9005985;LRdb:10699158;connectomeDB2020:9005985,6,4,14,LR,both,True
594,CCL8_CCR4,CCL8,C-C motif chemokine ligand 8,CCR4,C-C motif chemokine receptor 4,,P80075,P51679,OmniPath,P51679,CCL8,CCR4,1,1,0,1,1,0,Baccin2019;Ramilowski2015_Baccin2019;Wang,Baccin2019:16421945,1,1,2,LR,LR,True
595,CCL8_CCR5,CCL8,C-C motif chemokine ligand 8,CCR5,C-C motif chemokine receptor 5,,P80075,P51681,OmniPath,P51681,CCL8,CCR5,1,1,0,1,1,0,Baccin2019;CellCall;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;KEGG-MEDICUS;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SPIKE;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:1629834510477710;CellPhoneDB:24218476;Cellinker:10477718;Cellinker:12964882;Cellinker:9468473;Cellinker:9790730;DIP:10477718;DIP:9468473;Guide2Pharma:9790730;HPRD:10477718;HPRD:9468473;ICELLNET:22633458;InnateDB:10477718;LRdb:10699158;SPIKE:10477718;connectomeDB2020:10477718;connectomeDB2020:12964882;connectomeDB2020:9468473;connectomeDB2020:9790730;scConnect:9790730,20,8,19,LR,both,True
596,CCN1_ITGA5,CCN1,cellular communication network factor 1,ITGA5,integrin subunit alpha 5,,O00622,P08648,OmniPath,P08648,CCN1,ITGA5,1,1,0,1,1,0,CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr,CellTalkDB:9446626;Cellinker:9446626;LRdb:9446626;connectomeDB2020:9446626,4,1,9,LR,both,True
597,CCN1_ITGAM,CCN1,cellular communication network factor 1,ITGAM,integrin subunit alpha M,,O00622,P11215,OmniPath,P11215,CCN1,ITGAM,1,1,0,1,1,0,CellTalkDB;Cellinker;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,CellTalkDB:12036876;Cellinker:12036876;LRdb:12036876;connectomeDB2020:12036876,4,1,8,LR,both,True
598,CCN1_ITGAV,CCN1,cellular communication network factor 1,ITGAV,integrin subunit alpha V,,O00622,P06756,OmniPath,P06756,CCN1,ITGAV,1,0,0,0,0,0,CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;STRING_talklr;connectomeDB2020;iTALK;talklr,CellTalkDB:10821835;Cellinker:10821835;Cellinker:11287419;HPRD:10821835;HPRD:11287419;LRdb:10821835;LRdb:11;connectomeDB2020:11287419,8,3,9,LR,both,True
599,CCN1_ITGB2,CCN1,cellular communication network factor 1,ITGB2,integrin subunit beta 2,,O00622,P05107,OmniPath,P05107,CCN1,ITGB2,1,1,0,1,1,0,CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,CellTalkDB:12036876;Cellinker:12036876;LRdb:12036876;connectomeDB2020:12036876,4,1,9,LR,both,True
600,CCN1_ITGB3,CCN1,cellular communication network factor 1,ITGB3,integrin subunit beta 3,,O00622,P05106,OmniPath,P05106,CCN1,ITGB3,1,1,0,1,1,0,CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr,CellTalkDB:9446626;Cellinker:9446626;LRdb:9446626;connectomeDB2020:9446626,4,1,9,LR,both,True
601,CCN1_ITGB5,CCN1,cellular communication network factor 1,ITGB5,integrin subunit beta 5,,O00622,P18084,OmniPath,P18084,CCN1,ITGB5,1,0,0,0,0,0,CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;STRING_talklr;connectomeDB2020;iTALK;talklr,CellTalkDB:11287419;Cellinker:11287419;HPRD:11287419;LRdb:11287419;connectomeDB2020:11287419,5,1,9,LR,both,True
602,CCN1_TLR2,CCN1,cellular communication network factor 1,TLR2,toll like receptor 2,,O00622,O60603,OmniPath,O60603,CCN1,TLR2,1,0,0,0,0,0,CellTalkDB,CellTalkDB:32144270,1,1,1,LR,both,True
603,CCN1_TLR4,CCN1,cellular communication network factor 1,TLR4,toll like receptor 4,,O00622,O00206,OmniPath,O00206,CCN1,TLR4,1,0,0,0,0,0,CellTalkDB,CellTalkDB:32144270,1,1,1,LR,both,True
604,CCN2_EGFR,CCN2,cellular communication network factor 2,EGFR,epidermal growth factor receptor,,P29279,P00533,OmniPath,P00533,CCN2,EGFR,1,0,0,0,0,0,CellTalkDB,CellTalkDB:23929714,1,1,1,LR,both,True
605,CCN2_ERBB4,CCN2,cellular communication network factor 2,ERBB4,erb-b2 receptor tyrosine kinase 4,,P29279,Q15303,OmniPath,Q15303,CCN2,ERBB4,1,0,0,0,0,0,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;iTALK;talklr,Baccin2019:12297288;Cellinker:12297288;HPRD:12297288;LRdb:12297288,4,1,9,LR,both,True
606,CCN2_FGFR2,CCN2,cellular communication network factor 2,FGFR2,fibroblast growth factor receptor 2,,P29279,P21802,OmniPath,P21802,CCN2,FGFR2,1,0,0,0,0,0,Baccin2019;connectomeDB2020,Baccin2019:23142580;connectomeDB2020:23142580,2,1,2,LR,both,True
607,CCN2_IGF2R,CCN2,cellular communication network factor 2,IGF2R,insulin like growth factor 2 receptor,,P29279,P11717,OmniPath,P11717,CCN2,IGF2R,1,0,0,0,0,0,Baccin2019;connectomeDB2020,Baccin2019:22511630;connectomeDB2020:22511630,2,1,2,LR,both,True
608,CCN2_ITGA5,CCN2,cellular communication network factor 2,ITGA5,integrin subunit alpha 5,,P29279,P08648,OmniPath,P08648,CCN2,ITGA5,1,0,0,0,0,0,CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,LRdb:18167060;Ramilowski2015:18167060;connectomeDB2020:18167060;talklr:18167060,4,1,7,LR,both,True
609,CCN2_ITGAM,CCN2,cellular communication network factor 2,ITGAM,integrin subunit alpha M,,P29279,P11215,OmniPath,P11215,CCN2,ITGAM,1,1,0,1,1,0,CellTalkDB;Cellinker;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,CellTalkDB:12736251;Cellinker:12736251;LRdb:12736251;connectomeDB2020:12736251,4,1,8,LR,both,True
610,CCN2_ITGB2,CCN2,cellular communication network factor 2,ITGB2,integrin subunit beta 2,,P29279,P05107,OmniPath,P05107,CCN2,ITGB2,1,1,0,1,1,0,CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,CellTalkDB:12736251;Cellinker:12736251;LRdb:12736251;connectomeDB2020:12736251,4,1,9,LR,both,True
611,CCN2_LRP1,CCN2,cellular communication network factor 2,LRP1,LDL receptor related protein 1,,P29279,Q07954,OmniPath,Q07954,CCN2,LRP1,1,0,0,0,0,0,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr,Baccin2019:14585398;CellTalkDB:14585398;Cellinker:14585398;HPRD:14585398;LRdb:14585398;connectomeDB2020:14585398,6,1,10,LR,both,True
612,CCN2_LRP6,CCN2,cellular communication network factor 2,LRP6,LDL receptor related protein 6,,P29279,O75581,OmniPath,O75581,CCN2,LRP6,1,1,0,1,1,0,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:15105373;CellTalkDB:15105373;Cellinker:15105373;LRdb:15105373;SIGNOR:18528331;connectomeDB2020:15105373,6,2,11,LR,both,True
613,CCN2_NTRK1,CCN2,cellular communication network factor 2,NTRK1,neurotrophic receptor tyrosine kinase 1,,P29279,P04629,OmniPath,P04629,CCN2,NTRK1,1,0,0,0,0,0,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;talklr,CellTalkDB:15601748;Cellinker:15601748;LRdb:15601748;Ramilowski2015:15601748;connectomeDB2020:15601748;talklr:15601748,6,1,9,LR,both,True
614,CCN3_NOTCH1,CCN3,cellular communication network factor 3,NOTCH1,notch receptor 1,,P48745,P46531,OmniPath,P46531,CCN3,NOTCH1,1,1,0,1,1,0,Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;InnateDB-All_CellPhoneDB;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:1590625312050160;CellTalkDB:15906253;Cellinker:12050162;Cellinker:15906253;HPRD:12050162;LRdb:12;LRdb:15906253;NetPath:12050162;SignaLink3:12050162;SignaLink3:23331499;connectomeDB2020:12050162;connectomeDB2020:15906253,12,5,14,LR,both,True
615,CCN3_PLXNA1,CCN3,cellular communication network factor 3,PLXNA1,plexin A1,,P48745,Q9UIW2,OmniPath,Q9UIW2,CCN3,PLXNA1,1,0,0,0,0,0,CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;STRING_talklr;iTALK;talklr,CellTalkDB:32196115,1,1,5,LR,both,True
616,CCN4_ITGA5,CCN4,cellular communication network factor 4,ITGA5,integrin subunit alpha 5,,O95388,P08648,OmniPath,P08648,CCN4,ITGA5,1,0,0,0,0,0,connectomeDB2020,connectomeDB2020:29330021,1,1,1,LR,both,True
617,CCN4_ITGB1,CCN4,cellular communication network factor 4,ITGB1,integrin subunit beta 1,,O95388,P05556,OmniPath,P05556,CCN4,ITGB1,1,0,0,0,0,0,connectomeDB2020,connectomeDB2020:29330021,1,1,1,LR,both,True
618,CD1D_LILRB2,CD1D,CD1d molecule,LILRB2,leukocyte immunoglobulin like receptor B2,,P15813,Q8N423,OmniPath,Q8N423,CD1D,LILRB2,1,0,0,0,0,0,CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;InnateDB;LRdb;connectomeDB2020,Cellinker:19124746;InnateDB:19124746;LRdb:19124746;connectomeDB2020:19124746,4,1,5,LR,both,True
619,CD200_CD200R1L,CD200,CD200 molecule,CD200R1L,CD200 receptor 1 like,,P41217,Q6Q8B3,OmniPath,Q6Q8B3,CD200,CD200R1L,1,0,0,0,0,0,connectomeDB2020,connectomeDB2020:15187158;connectomeDB2020:19283782,2,2,1,LR,both,True
622,CD34_NECTIN4,CD34,CD34 molecule,NECTIN4,nectin cell adhesion molecule 4,,P28906,Q96NY8,OmniPath,Q96NY8,CD34,NECTIN4,1,0,0,0,0,0,Cellinker,Cellinker:32589946,1,1,1,LR,LR,True
623,CD40LG_CD40,CD40LG,CD40 ligand,CD40,CD40 molecule,,P29965,P25942,OmniPath,P25942,CD40LG,CD40,1,1,0,1,1,0,CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;LRdb;Ramilowski2015;SIGNOR;SPIKE;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr,CellPhoneDB:23602662;Cellinker:10647992;Cellinker:1374165;Cellinker:7516405;Cellinker:7543281;DIP:1280226;HPRD:10647992;HPRD:7516405;HPRD:7543281;ICELLNET:11163401;LRdb:10647992;LRdb:1374165;LRdb:7516405;LRdb:7543281;SIGNOR:12324477;SIGNOR:19426221;SPIKE:17183360;connectomeDB2020:10647992;connectomeDB2020:1374165;connectomeDB2020:7516405;connectomeDB2020:7543281,21,10,19,LR,both,True
624,CD40LG_CD53,CD40LG,CD40 ligand,CD53,CD53 molecule,,P29965,P19397,OmniPath,P19397,CD40LG,CD53,1,0,0,0,0,0,Cellinker,Cellinker:21428930,1,1,1,LR,both,True
625,CD40LG_ITGAM,CD40LG,CD40 ligand,ITGAM,integrin subunit alpha M,,P29965,P11215,OmniPath,P11215,CD40LG,ITGAM,1,0,0,0,0,0,CellTalkDB;Fantom5_LRdb;LRdb;STRING_talklr;iTALK;talklr,CellTalkDB:32196115,1,1,4,LR,both,True
626,CD40LG_ITGB2,CD40LG,CD40 ligand,ITGB2,integrin subunit beta 2,,P29965,P05107,OmniPath,P05107,CD40LG,ITGB2,1,0,0,0,0,0,CellTalkDB;Fantom5_LRdb;LRdb;STRING_talklr;iTALK;talklr,CellTalkDB:24652469,1,1,4,LR,both,True
627,CD48_PDCD1,CD48,CD48 molecule,PDCD1,programmed cell death 1,,P09326,Q15116,OmniPath,Q15116,CD48,PDCD1,1,0,0,0,0,0,Cellinker,Cellinker:32589946,1,1,1,LR,LR,True
628,CD52_SIGLEC10,CD52,CD52 molecule,SIGLEC10,sialic acid binding Ig like lectin 10,,P31358,Q96LC7,OmniPath,Q96LC7,CD52,SIGLEC10,1,0,0,0,0,0,CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;LRdb;connectomeDB2020,Cellinker:23685786;LRdb:23685786;connectomeDB2020:23685786,3,1,4,LR,both,True
629,CD58_CD2,CD58,CD58 molecule,CD2,CD2 molecule,,P19256,P06729,OmniPath,P06729,CD58,CD2,1,1,1,1,1,1,BioGRID;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;HPRD;ICELLNET;LRdb;Lit-BM-17;UniProt_LRdb;Wang;Wojtowicz2020;connectomeDB2020,BioGRID:11575926;CellPhoneDB:23602662;CellTalkDB:30368623;Cellinker:30368623;HPRD:11575926;HPRD:1377404;ICELLNET:7525848;ICELLNET:7544396;Lit-BM-17:11575926;Lit-BM-17:21982860;connectomeDB2020:23602662,11,7,11,LR,both,True
630,CD58_PTPRT,CD58,CD58 molecule,PTPRT,protein tyrosine phosphatase receptor type T,,P19256,O14522,OmniPath,O14522,CD58,PTPRT,1,0,0,0,0,0,Cellinker;Wojtowicz2020,Cellinker:32822567,1,1,2,LR,LR,True
631,CD59_CD2,CD59,CD59 molecule (CD59 blood group),CD2,CD2 molecule,,P13987,P06729,OmniPath,P06729,CD59,CD2,1,0,1,1,0,1,CellTalkDB;Cellinker;HPRD;LRdb;Wang;connectomeDB2020,CellTalkDB:1385156;Cellinker:1385156;HPRD:1377404;LRdb:1385156;connectomeDB2020:1377404,5,2,6,LR,both,True
632,CD59_SIGLEC1,CD59,CD59 molecule (CD59 blood group),SIGLEC1,sialic acid binding Ig like lectin 1,,P13987,Q9BZZ2,OmniPath,Q9BZZ2,CD59,SIGLEC1,1,0,0,0,0,0,Cellinker,Cellinker:32589946,1,1,1,LR,both,True
633,CD59_STAB1,CD59,CD59 molecule (CD59 blood group),STAB1,stabilin 1,,P13987,Q9NY15,OmniPath,Q9NY15,CD59,STAB1,1,0,0,0,0,0,Cellinker,Cellinker:32589946,1,1,1,LR,both,True
634,CD5L_CD5,CD5L,CD5 molecule like,CD5,CD5 molecule,,O43866,P06127,OmniPath,P06127,CD5L,CD5,1,0,0,0,0,0,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;talklr,CellTalkDB:9723705;Cellinker:9723705;LRdb:9723705;Ramilowski2015:9723705;connectomeDB2020:9723705;talklr:9723705,6,1,9,LR,both,True
635,CD70_GPRC5B,CD70,CD70 molecule,GPRC5B,G protein-coupled receptor class C group 5 member B,,P32970,Q9NZH0,OmniPath,Q9NZH0,CD70,GPRC5B,1,0,0,0,0,0,CellPhoneDB;InnateDB-All_CellPhoneDB,,0,0,1,LR,LR,True
637,CD70_TNFRSF17,CD70,CD70 molecule,TNFRSF17,TNF receptor superfamily member 17,,P32970,Q02223,OmniPath,Q02223,CD70,TNFRSF17,1,0,0,0,0,0,CellPhoneDB;CellTalkDB;InnateDB-All_CellPhoneDB,CellTalkDB:32103204,1,1,2,LR,both,True
638,CD99_CD81,CD99,CD99 molecule (Xg blood group),CD81,CD81 molecule,,P14209,P60033,OmniPath,P60033,CD99,CD81,1,0,0,0,0,0,CellTalkDB,CellTalkDB:21838920,1,1,1,LR,both,True
639,CD99_CD99L2,CD99,CD99 molecule (Xg blood group),CD99L2,CD99 molecule like 2,,P14209,Q8TCZ2,OmniPath,Q8TCZ2,CD99,CD99L2,1,0,0,0,0,0,CellChatDB,,0,0,1,LR,LR,True
640,CD99_PILRA,CD99,CD99 molecule (Xg blood group),PILRA,paired immunoglobin like type 2 receptor alpha,,P14209,Q9UKJ1,OmniPath,Q9UKJ1,CD99,PILRA,1,0,0,0,0,0,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;LRdb;connectomeDB2020,CellChatDB:18234675;CellTalkDB:18234675;Cellinker:18234675;LRdb:18234675;connectomeDB2020:18234675,5,1,6,LR,both,True
641,CD99_PILRB,CD99,CD99 molecule (Xg blood group),PILRB,paired immunoglobin like type 2 receptor beta,,P14209,Q9UKJ0,OmniPath,Q9UKJ0,CD99,PILRB,1,0,0,0,0,0,Cellinker;connectomeDB2020,Cellinker:18234675;connectomeDB2020:18234675,2,1,2,LR,both,True
642,CEACAM16_TECTA,CEACAM16,"CEA cell adhesion molecule 16, tectorial membrane component",TECTA,tectorin alpha,,Q2WEN9,O75443,OmniPath,O75443,CEACAM16,TECTA,1,0,0,0,0,0,CellTalkDB,CellTalkDB:25080593,1,1,1,LR,both,True
643,CEACAM16_TECTB,CEACAM16,"CEA cell adhesion molecule 16, tectorial membrane component",TECTB,tectorin beta,,Q2WEN9,Q96PL2,OmniPath,Q96PL2,CEACAM16,TECTB,1,0,0,0,0,0,CellTalkDB,CellTalkDB:25080593,1,1,1,LR,both,True
644,CEACAM5_LRP8,CEACAM5,CEA cell adhesion molecule 5,LRP8,LDL receptor related protein 8,,P06731,Q14114,OmniPath,Q14114,CEACAM5,LRP8,1,0,0,0,0,0,Cellinker,Cellinker:32589946,1,1,1,LR,LR,True
647,CEACAM6_STAB1,CEACAM6,CEA cell adhesion molecule 6,STAB1,stabilin 1,,P40199,Q9NY15,OmniPath,Q9NY15,CEACAM6,STAB1,1,0,0,0,0,0,Cellinker,Cellinker:32589946,1,1,1,LR,LR,True
648,CEACAM8_BTN2A2,CEACAM8,CEA cell adhesion molecule 8,BTN2A2,butyrophilin subfamily 2 member A2,,P31997,Q8WVV5,OmniPath,Q8WVV5,CEACAM8,BTN2A2,1,0,0,0,0,0,Cellinker,Cellinker:32589946,1,1,1,LR,LR,True
650,CEACAM8_PTPRO,CEACAM8,CEA cell adhesion molecule 8,PTPRO,protein tyrosine phosphatase receptor type O,,P31997,Q16827,OmniPath,Q16827,CEACAM8,PTPRO,1,0,0,0,0,0,Cellinker,Cellinker:32589946,1,1,1,LR,LR,True
651,CEACAM8_TECTB,CEACAM8,CEA cell adhesion molecule 8,TECTB,tectorin beta,,P31997,Q96PL2,OmniPath,Q96PL2,CEACAM8,TECTB,1,0,0,0,0,0,Cellinker,Cellinker:32589946,1,1,1,LR,LR,True
652,CER1_MRC2,CER1,"cerberus 1, DAN family BMP antagonist",MRC2,mannose receptor C type 2,,O95813,Q9UBG0,OmniPath,Q9UBG0,CER1,MRC2,1,0,0,0,0,0,CellPhoneDB;CellTalkDB;InnateDB-All_CellPhoneDB,CellTalkDB:32103204,1,1,2,LR,both,True
653,CFH_ITGAM,CFH,complement factor H,ITGAM,integrin subunit alpha M,,P08603,P11215,OmniPath,P11215,CFH,ITGAM,1,0,0,0,0,0,CellTalkDB;Cellinker;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,CellTalkDB:9558116;Cellinker:9558116;HPRD:9558116;LRdb:9558116;connectomeDB2020:9558116,5,1,8,LR,both,True
654,CFH_SELL,CFH,complement factor H,SELL,selectin L,,P08603,P14151,OmniPath,P14151,CFH,SELL,1,1,0,1,1,0,Baccin2019;CellTalkDB;Cellinker;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:1037724510377240;Cellinker:10377245;HPRD:10377245;LRdb:10377245;connectomeDB2020:10377245,5,2,10,LR,both,True
655,CFP_NCR1,CFP,complement factor properdin,NCR1,natural cytotoxicity triggering receptor 1,,P27918,O76036,OmniPath,O76036,CFP,NCR1,1,0,0,0,0,0,connectomeDB2020,connectomeDB2020:28480349,1,1,1,LR,both,True
656,CGA_ADCYAP1R1,CGA,"glycoprotein hormones, alpha polypeptide",ADCYAP1R1,ADCYAP receptor type I,,P01215,P41586,OmniPath,P41586,CGA,ADCYAP1R1,1,1,0,1,1,0,CellCall;CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,3,LR,both,True
657,CGA_ADRB2,CGA,"glycoprotein hormones, alpha polypeptide",ADRB2,adrenoceptor beta 2,,P01215,P07550,OmniPath,P07550,CGA,ADRB2,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
658,CGA_ADRB3,CGA,"glycoprotein hormones, alpha polypeptide",ADRB3,adrenoceptor beta 3,,P01215,P13945,OmniPath,P13945,CGA,ADRB3,1,0,0,0,0,0,CellTalkDB;LRdb;Reactome_LRdb,CellTalkDB:32196115,1,1,2,LR,both,True
