Unnamed: 0,True_LR,Pair.Name,Ligand,Ligand.Name,Receptor,Receptor.Name,complex_pair,source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,sources,references,curation_effort,n_references,n_resources,annotation_strategy,partner_a,partner_b
605,True,DLK1_NOTCH1,DLK1,delta like non-canonical Notch ligand 1,NOTCH1,notch receptor 1,,community,P46531,1,0,1,1,0,1,Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;connectomeDB2020;iTALK;talklr,Baccin2019:26791579;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;Cellinker:21419176;Cellinker:22353464;LRdb:22353464;Ramilowski2015:21419176;SIGNOR:21419176;connectomeDB2020:21419176;talklr:21419176,11,3,12,both,DLK1,NOTCH1
606,True,EFNB1_EPHB4,EFNB1,ephrin B1,EPHB4,EPH receptor B4,,community,P54760,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:9330863;CellChatDB:15114347;CellPhoneDB:15114347;Cellinker:15114347;LRdb:11114742;SIGNOR:9330863;connectomeDB2020:9330863,7,3,14,both,EFNB1,EPHB4
607,True,FSTL1_DIP2A,FSTL1,follistatin like 1,DIP2A,disco interacting protein 2 homolog A,,community,Q14689,1,1,0,1,1,0,IntAct;Lit-BM-17;SIGNOR;connectomeDB2020,IntAct:20860622;Lit-BM-17:20860622;SIGNOR:20054002;connectomeDB2020:20054002,4,2,4,both,FSTL1,DIP2A
608,True,ANGPT1_TIE1,ANGPT1,angiopoietin 1,TIE1,tyrosine kinase with immunoglobulin like and EGF like domains 1,,community,P35590,1,1,0,1,1,0,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:11172728;CellTalkDB:11172728;Cellinker:11172728;HPMR:11172728;LRdb:11172728;SIGNOR:11172728;connectomeDB2020:11172728,7,1,12,both,ANGPT1,TIE1
609,True,TPSAB1_F2RL1,TPSAB1,tryptase alpha/beta 1,F2RL1,F2R like trypsin receptor 1,,community,P55085,1,1,0,1,1,0,Cellinker;SIGNOR,Cellinker:9020112;SIGNOR:21999702,2,2,2,both,TPSAB1,F2RL1
610,True,EFNB3_EPHA4,EFNB3,ephrin B3,EPHA4,EPH receptor A4,,community,P54764,1,1,0,1,1,0,Baccin2019;BioGRID;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:12383247;Baccin2019:12649481;Baccin2019:9484836;BioGRID:9484836;CellChatDB:15114347;CellPhoneDB:15114347;Cellinker:12383247;Cellinker:12649481;Cellinker:15114347;Cellinker:9484836;DIP:23812375;HPRD:12383247;HPRD:9484836;LRdb:12094214;SIGNOR:9330863;connectomeDB2020:12383247;connectomeDB2020:9484836,17,7,16,both,EFNB3,EPHA4
611,True,ADIPOQ_ADIPOR2,ADIPOQ,"adiponectin, C1Q and collagen domain containing",ADIPOR2,adiponectin receptor 2,,community,Q86V24,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:12802330;Baccin2019:12802337;CellChatDB:21284979;CellTalkDB:12802337;Cellinker:12802337;Cellinker:21284979;HPRD:12802337;LRdb:12802337;SIGNOR:12802337;SIGNOR:16622416;connectomeDB2020:12802337,11,4,15,both,ADIPOQ,ADIPOR2
612,True,ADIPOQ_ADIPOR1,ADIPOQ,"adiponectin, C1Q and collagen domain containing",ADIPOR1,adiponectin receptor 1,,community,Q96A54,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;Kirouac2010;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:12802337;CellChatDB:21284979;CellTalkDB:12802337;Cellinker:12802337;Cellinker:21284979;HPMR:12802337;LRdb:12802337;SIGNOR:16622416;connectomeDB2020:12802337,9,3,15,both,ADIPOQ,ADIPOR1
613,True,FYN_THY1,FYN,"FYN proto-oncogene, Src family tyrosine kinase",THY1,Thy-1 cell surface antigen,,community,P04216,1,0,0,0,0,0,Adhesome;CellTalkDB;HPRD;LRdb;PhosphoPoint;Wang,Adhesome:1351058;CellTalkDB:25416548;HPRD:1351058;LRdb:25416548,4,2,6,both,FYN,THY1
614,True,CALR_ITGAV,CALR,calreticulin,ITGAV,integrin subunit alpha V,,community,P06756,1,0,0,0,0,0,Adhesome;CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr,Adhesome:12196561;CellTalkDB:12196561;HPRD:12196561;LRdb:12196561;connectomeDB2020:12196561,5,1,10,both,CALR,ITGAV
615,True,CALR_ITGA3,CALR,calreticulin,ITGA3,integrin subunit alpha 3,,community,P26006,1,0,0,0,0,0,Adhesome;CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LMPID;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr,Adhesome:11327697;Adhesome:8006073;CellTalkDB:8006073;HPRD:11327697;HPRD:8006073;LMPID:1911778;LRdb:113;LRdb:8006073;connectomeDB2020:11327697;connectomeDB2020:8006073,10,4,11,both,CALR,ITGA3
616,True,CCL11_ACKR1,CCL11,C-C motif chemokine ligand 11,ACKR1,atypical chemokine receptor 1 (Duffy blood group),,community,Q16570,1,0,0,0,0,0,CellChatDB;CellTalkDB;Cellinker;ICELLNET;LRdb,CellChatDB:26740381;CellTalkDB:10699158;Cellinker:26740381;Cellinker:29637711;ICELLNET:22633458;LRdb:10699158,6,4,5,both,CCL11,ACKR1
617,True,CCL11_ACKR2,CCL11,C-C motif chemokine ligand 11,ACKR2,atypical chemokine receptor 2,,community,O00590,1,0,0,0,0,0,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,CellChatDB:26740381;CellPhoneDB:24218476;CellTalkDB:10699158;Cellinker:26740381;Cellinker:9405404;HPRD:9405404;ICELLNET:22633458;InnateDB:9405404;LRdb:10699158;connectomeDB2020:9405404,10,5,13,both,CCL11,ACKR2
618,True,CCL13_ACKR1,CCL13,C-C motif chemokine ligand 13,ACKR1,atypical chemokine receptor 1 (Duffy blood group),,community,Q16570,1,0,0,0,0,0,Baccin2019;CellChatDB;CellTalkDB;Cellinker;ICELLNET;LRdb,Baccin2019:24890717;CellChatDB:26740381;CellTalkDB:10699158;Cellinker:26740381;Cellinker:29637711;ICELLNET:22633458;LRdb:10699158,7,5,6,both,CCL13,ACKR1
619,True,CCL13_ACKR2,CCL13,C-C motif chemokine ligand 13,ACKR2,atypical chemokine receptor 2,,community,O00590,1,1,0,1,1,0,Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,Baccin2019:24890717;CellChatDB:26740381;CellPhoneDB:24218476;Cellinker:26740381;Cellinker:9405404;HPRD:9405404;ICELLNET:22633458;InnateDB:9405404;LRdb:10699158;connectomeDB2020:9405404,10,6,14,both,CCL13,ACKR2
620,True,CCL14_ACKR1,CCL14,C-C motif chemokine ligand 14,ACKR1,atypical chemokine receptor 1 (Duffy blood group),,community,Q16570,1,0,0,0,0,0,CellChatDB;CellTalkDB;Cellinker;ICELLNET;LRdb,CellChatDB:26740381;CellTalkDB:9405404;Cellinker:26740381;Cellinker:29637711;ICELLNET:22633458;LRdb:9405404,6,4,5,both,CCL14,ACKR1
621,True,CCL14_ACKR2,CCL14,C-C motif chemokine ligand 14,ACKR2,atypical chemokine receptor 2,,community,O00590,1,0,0,0,0,0,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,CellChatDB:26740381;CellPhoneDB:24218476;CellTalkDB:9660793;Cellinker:26740381;Cellinker:9405404;HPRD:9405404;ICELLNET:22633458;InnateDB:9405404;LRdb:9660793;connectomeDB2020:9405404,10,5,12,both,CCL14,ACKR2
622,True,CCL16_CCR1,CCL16,C-C motif chemokine ligand 16,CCR1,C-C motif chemokine receptor 1,,community,P32246,1,1,0,1,1,0,CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;KEGG-MEDICUS;Kirouac2010;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,CellPhoneDB:24218476;CellTalkDB:11470772;Cellinker:10910894;Cellinker:11470772;DIP:10910894;DIP:11470772;HPRD:10910894;HPRD:11470772;ICELLNET:22633458;InnateDB:11470772;LRdb:11;LRdb:11470772;connectomeDB2020:10910894;connectomeDB2020:11470772,14,5,17,both,CCL16,CCR1
623,True,CCL16_CCR8,CCL16,C-C motif chemokine ligand 16,CCR8,C-C motif chemokine receptor 8,,community,P51685,1,1,0,1,1,0,CellCall;CellPhoneDB;CellTalkDB;Cellinker;DIP;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;ICELLNET;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,CellTalkDB:10910894;Cellinker:10910894;DIP:10910894;HPRD:10910894;ICELLNET:22633458;LRdb:10910894;connectomeDB2020:10910894,7,2,13,both,CCL16,CCR8
624,True,CCL17_ACKR1,CCL17,C-C motif chemokine ligand 17,ACKR1,atypical chemokine receptor 1 (Duffy blood group),,community,Q16570,1,0,0,0,0,0,CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;ICELLNET;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,CellChatDB:26740381;Cellinker:13679391;Cellinker:26740381;HPRD:13679391;ICELLNET:22633458;LRdb:10699158;LRdb:13679391;connectomeDB2020:13679391,8,4,11,both,CCL17,ACKR1
625,True,CCL17_ACKR2,CCL17,C-C motif chemokine ligand 17,ACKR2,atypical chemokine receptor 2,,community,O00590,1,0,0,0,0,0,CellChatDB;CellTalkDB;Cellinker;ICELLNET;LRdb;connectomeDB2020,CellChatDB:26740381;CellTalkDB:10699158;Cellinker:26740381;Cellinker:29637711;ICELLNET:22633458;LRdb:10699158;connectomeDB2020:25297873,7,5,6,both,CCL17,ACKR2
626,True,CCL18_CCR8,CCL18,C-C motif chemokine ligand 18,CCR8,C-C motif chemokine receptor 8,,community,P51685,1,1,0,1,1,0,CellCall;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;ICELLNET;InnateDB;LRdb;Wang;connectomeDB2020,CellPhoneDB:24218476;CellTalkDB:24218476;Cellinker:24218476;ICELLNET:23999500;InnateDB:23999500;LRdb:24218476;connectomeDB2020:24218476,7,2,9,both,CCL18,CCR8
627,True,CCL18_CCR3,CCL18,C-C motif chemokine ligand 18,CCR3,C-C motif chemokine receptor 3,,community,P51677,1,1,1,1,0,1,CellCall;CellTalkDB;Cellinker;ICELLNET;InnateDB;Wang;connectomeDB2020;scConnect,CellTalkDB:23951310;Cellinker:23951310;Cellinker:29637711;ICELLNET:22633458;ICELLNET:23999500;InnateDB:10640766;connectomeDB2020:24218476;scConnect:23951310,8,6,8,both,CCL18,CCR3
628,True,CCL18_PITPNM3,CCL18,C-C motif chemokine ligand 18,PITPNM3,PITPNM family member 3,,community,Q9BZ71,1,0,0,0,0,0,ICELLNET;InnateDB;connectomeDB2020,ICELLNET:22633458;InnateDB:21481794;connectomeDB2020:24218476,3,3,3,both,CCL18,PITPNM3
629,True,CCL2_ACKR1,CCL2,C-C motif chemokine ligand 2,ACKR1,atypical chemokine receptor 1 (Duffy blood group),,community,Q16570,1,0,0,0,0,0,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_talklr;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;STRING_talklr;connectomeDB2020;iTALK;talklr,CellChatDB:26740381;CellPhoneDB:24218476;Cellinker:13679391;Cellinker:17416748;Cellinker:26740381;HPRD:13679391;HPRD:17416748;ICELLNET:22633458;InnateDB:8132497;LRdb:10699158;LRdb:13679391;LRdb:17;connectomeDB2020:13679391;connectomeDB2020:17416748,14,8,12,both,CCL2,ACKR1
630,True,CCL2_ACKR2,CCL2,C-C motif chemokine ligand 2,ACKR2,atypical chemokine receptor 2,,community,O00590,1,0,0,0,0,0,Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr,Baccin2019:9364936;Baccin2019:9405404;CellChatDB:26740381;CellPhoneDB:24218476;Cellinker:26740381;Cellinker:9364936;Cellinker:9405404;HPRD:9364936;HPRD:9405404;ICELLNET:22633458;InnateDB:9405404;LRdb:10699158;connectomeDB2020:9364936;connectomeDB2020:9405404,14,6,13,both,CCL2,ACKR2
631,True,CCL22_ACKR2,CCL22,C-C motif chemokine ligand 22,ACKR2,atypical chemokine receptor 2,,community,O00590,1,0,0,0,0,0,Baccin2019;CellChatDB;CellTalkDB;Cellinker;ICELLNET;LRdb;connectomeDB2020,CellChatDB:26740381;CellTalkDB:10699158;Cellinker:26740381;Cellinker:29637711;ICELLNET:22633458;LRdb:10699158;connectomeDB2020:25297873,7,5,7,both,CCL22,ACKR2
632,True,CCL23_ACKR2,CCL23,C-C motif chemokine ligand 23,ACKR2,atypical chemokine receptor 2,,community,O00590,1,0,0,0,0,0,CellTalkDB;ICELLNET;LRdb,CellTalkDB:10699158;ICELLNET:22633458;LRdb:10699158,3,2,3,both,CCL23,ACKR2
633,True,CCL23_FPR2,CCL23,C-C motif chemokine ligand 23,FPR2,formyl peptide receptor 2,,community,P25090,1,0,0,0,0,0,Cellinker;ICELLNET,Cellinker:29637711;ICELLNET:22633458,2,2,2,both,CCL23,FPR2
634,True,CCL24_ACKR2,CCL24,C-C motif chemokine ligand 24,ACKR2,atypical chemokine receptor 2,,community,O00590,1,0,0,0,0,0,CellChatDB;CellTalkDB;Cellinker;ICELLNET;LRdb,CellChatDB:26740381;CellTalkDB:10699158;Cellinker:26740381;ICELLNET:22633458;LRdb:10699158,5,3,5,both,CCL24,ACKR2
635,True,CCL26_CCR1,CCL26,C-C motif chemokine ligand 26,CCR1,C-C motif chemokine receptor 1,,community,P32246,1,1,0,1,1,0,CellCall;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr,CellPhoneDB:24218476;Cellinker:15039444;HPRD:15039444;ICELLNET:15039444;ICELLNET:22633458;InnateDB:15039444;LRdb:15039444;connectomeDB2020:15039444,8,3,13,both,CCL26,CCR1
636,True,CCL26_CCR5,CCL26,C-C motif chemokine ligand 26,CCR5,C-C motif chemokine receptor 5,,community,P51681,1,1,0,1,1,0,CellCall;Cellinker;ICELLNET;InnateDB;Wang,Cellinker:29637711;ICELLNET:15039444;ICELLNET:22633458;InnateDB:15039444,4,3,5,both,CCL26,CCR5
637,True,CCL26_CX3CR1,CCL26,C-C motif chemokine ligand 26,CX3CR1,C-X3-C motif chemokine receptor 1,,community,P49238,1,1,0,1,1,0,CellCall;Cellinker;ICELLNET;InnateDB;Wang;iTALK,Cellinker:29637711;ICELLNET:20974991;ICELLNET:22633458;InnateDB:20974991,4,3,6,both,CCL26,CX3CR1
638,True,CCL3_ACKR2,CCL3,C-C motif chemokine ligand 3,ACKR2,atypical chemokine receptor 2,,community,O00590,1,0,0,0,0,0,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,CellChatDB:26740381;CellPhoneDB:24218476;Cellinker:26740381;Cellinker:9405404;HPRD:9405404;ICELLNET:22633458;InnateDB:9405404;LRdb:10699158;connectomeDB2020:9405404,9,5,12,both,CCL3,ACKR2
639,True,CCL3L1_ACKR2,CCL3L1,C-C motif chemokine ligand 3 like 1,ACKR2,atypical chemokine receptor 2,,community,O00590,1,0,0,0,0,0,CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;ICELLNET;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,CellChatDB:26740381;CellTalkDB:10364178;Cellinker:26740381;Cellinker:29637711;HPRD:10364178;ICELLNET:22633458;LRdb:10699158;connectomeDB2020:10364178;connectomeDB2020:25297873,9,6,11,both,CCL3L1,ACKR2
640,True,CCL3L1_CCR1,CCL3L1,C-C motif chemokine ligand 3 like 1,CCR1,C-C motif chemokine receptor 1,,community,P32246,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellPhoneDB;Cellinker;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:10202040;Baccin2019:10660125;Baccin2019:11170631;Baccin2019:12381680;Baccin2019:7545673;Baccin2019:8530354;Baccin2019:9115216;Baccin2019:9624164;CellPhoneDB:24218476;Cellinker:11449371;HPRD:11449371;ICELLNET:22633458;LRdb:11449371;connectomeDB2020:11449371,14,11,13,both,CCL3L1,CCR1
641,True,CCL3L1_CCR3,CCL3L1,C-C motif chemokine ligand 3 like 1,CCR3,C-C motif chemokine receptor 3,,community,P51677,1,1,0,1,1,0,Baccin2019;CellCall;CellPhoneDB;Cellinker;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:7594543;CellPhoneDB:24218476;Cellinker:11449371;HPRD:11449371;ICELLNET:22633458;LRdb:11449371;connectomeDB2020:11449371,7,4,12,both,CCL3L1,CCR3
642,True,CCL4_ACKR2,CCL4,C-C motif chemokine ligand 4,ACKR2,atypical chemokine receptor 2,,community,O00590,1,0,0,0,0,0,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,CellChatDB:26740381;CellPhoneDB:24218476;Cellinker:26740381;Cellinker:29637711;Cellinker:9405404;HPRD:9405404;ICELLNET:22633458;InnateDB:9405404;LRdb:10699158;connectomeDB2020:9405404,10,6,13,both,CCL4,ACKR2
643,True,CCL4L1_ACKR2,CCL4L1,C-C motif chemokine ligand 4 like 1,ACKR2,atypical chemokine receptor 2,,community,O00590,1,0,0,0,0,0,Cellinker;ICELLNET,Cellinker:29637711;ICELLNET:22633458,2,2,2,both,CCL4L1,ACKR2
644,True,CCL5_ACKR1,CCL5,C-C motif chemokine ligand 5,ACKR1,atypical chemokine receptor 1 (Duffy blood group),,community,Q16570,1,0,0,0,0,0,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_talklr;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,CellChatDB:26740381;CellPhoneDB:24218476;Cellinker:12081195;Cellinker:17416748;Cellinker:26740381;HPRD:12081195;HPRD:17416748;ICELLNET:22633458;InnateDB:7592830;InnateDB:8132497;InnateDB:9195930;LRdb:10699158;LRdb:12081195;LRdb:17;connectomeDB2020:12081195;connectomeDB2020:17416748,16,10,12,both,CCL5,ACKR1
645,True,CCL5_ACKR2,CCL5,C-C motif chemokine ligand 5,ACKR2,atypical chemokine receptor 2,,community,O00590,1,0,0,0,0,0,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,CellChatDB:26740381;CellPhoneDB:24218476;Cellinker:26740381;Cellinker:9405404;HPRD:9405404;ICELLNET:22633458;InnateDB:9405404;LRdb:10699158;connectomeDB2020:9405404,9,5,13,both,CCL5,ACKR2
646,True,CCL7_ACKR2,CCL7,C-C motif chemokine ligand 7,ACKR2,atypical chemokine receptor 2,,community,O00590,1,0,0,0,0,0,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;STRING_talklr;connectomeDB2020;iTALK;talklr,CellChatDB:26740381;CellPhoneDB:24218476;Cellinker:26740381;Cellinker:9364936;Cellinker:9405404;HPRD:9364936;HPRD:9405404;ICELLNET:22633458;InnateDB:9405404;LRdb:10699158;connectomeDB2020:9364936;connectomeDB2020:9405404,12,6,13,both,CCL7,ACKR2
647,True,CCL8_ACKR2,CCL8,C-C motif chemokine ligand 8,ACKR2,atypical chemokine receptor 2,,community,O00590,1,1,0,1,1,0,Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr,Baccin2019:9364936;Baccin2019:9405404;CellChatDB:26740381;CellPhoneDB:24218476;Cellinker:26740381;Cellinker:9405404;HPRD:9405404;ICELLNET:22633458;InnateDB:9405404;LRdb:10699158;connectomeDB2020:9405404,11,6,13,both,CCL8,ACKR2
648,True,ICAM3_CD209,ICAM3,intercellular adhesion molecule 3,CD209,CD209 molecule,,community,Q9NNX6,1,0,0,0,0,0,CellPhoneDB;CellTalkDB;HPRD;connectomeDB2020,CellTalkDB:15795245;HPRD:10721994;HPRD:11017109;HPRD:11799126;connectomeDB2020:15795245,5,4,4,both,ICAM3,CD209
649,True,CD274_CD80,CD274,CD274 molecule,CD80,CD80 molecule,,community,P33681,1,1,0,0,0,0,Baccin2019;CellPhoneDB;CellTalkDB;ICELLNET;IntAct;LRdb;Lit-BM-17;Wojtowicz2020;connectomeDB2020,Baccin2019:24819296;CellTalkDB:17629517;ICELLNET:26927206;IntAct:18585785;IntAct:20587542;IntAct:21982860;IntAct:23417675;IntAct:31000591;LRdb:17629517;Lit-BM-17:21982860;connectomeDB2020:17629517;connectomeDB2020:18585785;connectomeDB2020:20587542,13,8,9,both,CD274,CD80
650,True,CD48_CD2,CD48,CD48 molecule,CD2,CD2 molecule,,community,P06729,1,0,0,0,0,0,Baccin2019;HPRD;ICELLNET;LRdb;UniProt_LRdb;connectomeDB2020,Baccin2019:26794910;HPRD:12356317;ICELLNET:7691954;connectomeDB2020:18287277;connectomeDB2020:23470321,5,5,5,both,CD48,CD2
651,True,CD48_CD244,CD48,CD48 molecule,CD244,CD244 molecule,,community,Q9BZW8,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellPhoneDB;HPRD;ICELLNET;IntAct;LRdb;Wang;connectomeDB2020,Baccin2019:26794910;CellChatDB:26697006;CellPhoneDB:26697006;HPRD:11163399;HPRD:9834056;ICELLNET:26794910;IntAct:15153464;IntAct:16002700;IntAct:18296487;LRdb:15870174;connectomeDB2020:15870174,11,8,10,both,CD48,CD244
652,True,CD58_CD2,CD58,CD58 molecule,CD2,CD2 molecule,,community,P06729,1,1,1,1,1,1,BioGRID;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;HPRD;ICELLNET;LRdb;Lit-BM-17;UniProt_LRdb;Wang;Wojtowicz2020;connectomeDB2020,BioGRID:11575926;CellPhoneDB:23602662;CellTalkDB:30368623;Cellinker:30368623;HPRD:11575926;HPRD:1377404;ICELLNET:7525848;ICELLNET:7544396;Lit-BM-17:11575926;Lit-BM-17:21982860;connectomeDB2020:23602662,11,7,11,both,CD58,CD2
653,True,CXCL1_ACKR1,CXCL1,C-X-C motif chemokine ligand 1,ACKR1,atypical chemokine receptor 1 (Duffy blood group),,community,Q16570,1,1,0,1,1,0,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_talklr;Fantom5_LRdb;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,CellChatDB:26740381;CellPhoneDB:24218476;Cellinker:12734373;Cellinker:26740381;Cellinker:7592830;DIP:7592830;HPMR:12734373;HPRD:7592830;ICELLNET:22633458;ICELLNET:24625696;InnateDB:7592830;InnateDB:8132497;InnateDB:9195930;LRdb:10699158;LRdb:12734373;LRdb:76;connectomeDB2020:12734373;connectomeDB2020:7592830,18,10,15,both,CXCL1,ACKR1
