gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	T
CD8A	P01732	False	CD8A_HUMAN		CPI-SS0C47D7096	0.0	0.0	0.0	0.0	0.001	0.0	0.288
CD8B	P10966	False	CD8B_HUMAN		CPI-SS01C41F02A	0.0	0.013	0.0	0.0	0.0	0.0	0.0
CD4	P01730	False	CD4_HUMAN		CPI-SS0104BDBB2	0.0	0.201	0.0	0.237	0.021	0.305	0.109
PLSCR1	O15162	False	PLSCR1_HUMAN		CPI-SS038CB25DC	0.031	0.396	0.121	0.232	0.18	0.32	0.087
CD4	P01730	False	CD4_HUMAN		CPI-SS0E2597B38	0.0	0.201	0.0	0.237	0.021	0.305	0.109
CD4	P01730	False	CD4_HUMAN		CPI-SS0A8AC23AB	0.0	0.201	0.0	0.237	0.021	0.305	0.109
CD4	P01730	False	CD4_HUMAN		CPI-SS062A16D80	0.0	0.201	0.0	0.237	0.021	0.305	0.109
CD4	P01730	False	CD4_HUMAN		CPI-SS0BF909D7D	0.0	0.201	0.0	0.237	0.021	0.305	0.109
CD4	P01730	False	CD4_HUMAN		CPI-SS001B88F53	0.0	0.201	0.0	0.237	0.021	0.305	0.109
CD4	P01730	False	CD4_HUMAN		CPI-SS0719BAC44	0.0	0.201	0.0	0.237	0.021	0.305	0.109
CD4	P01730	False	CD4_HUMAN		CPI-SS0C9E69190	0.0	0.201	0.0	0.237	0.021	0.305	0.109
CD4	P01730	False	CD4_HUMAN		CPI-SS07F78CCA9	0.0	0.201	0.0	0.237	0.021	0.305	0.109
CD4	P01730	False	CD4_HUMAN		CPI-SS0D3DE8715	0.0	0.201	0.0	0.237	0.021	0.305	0.109
LAG3	P18627	False	LAG3_HUMAN		CPI-SS0772F470E	0.045	0.006	0.0	0.0	0.12	0.003	0.059
CD4	P01730	False	CD4_HUMAN		CPI-SS05FC22EFD	0.0	0.201	0.0	0.237	0.021	0.305	0.109
CD4	P01730	False	CD4_HUMAN		CPI-SS0D3BA6E81	0.0	0.201	0.0	0.237	0.021	0.305	0.109
CD4	P01730	False	CD4_HUMAN		CPI-SS0957FEEC6	0.0	0.201	0.0	0.237	0.021	0.305	0.109
LAG3	P18627	False	LAG3_HUMAN		CPI-SS0F5FD6923	0.045	0.006	0.0	0.0	0.12	0.003	0.059
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	0.0	0.01	0.0	0.025	0.005	0.044	0.726
LGALS3	P17931	False	LGALS3_HUMAN		CPI-SS074D67CE2	0.059	0.361	0.517	0.553	0.05	0.634	0.231
RGMB	Q6NW40	False	RGMB_HUMAN		CPI-SS0287481A1	0.0	0.0	0.0	0.005	0.0	0.003	0.0
HLA-C	P10321	False	HLA-C_HUMAN		CPI-SS0EC1DB4A0	1.834	1.969	0.947	1.982	1.23	2.012	2.101
LILRA5	A6NI73	False	LILRA5_HUMAN		CPI-SS0D65C9514	0.033	0.038	0.0	0.179	0.008	0.221	0.0
IL6R	P08887	False	IL6R_HUMAN		CPI-SS0663384AA	0.0	0.298	0.0	0.238	0.127	0.243	0.0
HLA-B	P01889	False	HLA-B_HUMAN		CPI-SS073F43DB9	2.858	2.688	0.623	2.734	1.965	2.842	3.137
HLA-A	P04439	False	HLA-A_HUMAN		CPI-SS0F8531E5B	2.177	2.207	1.516	2.167	1.779	2.301	2.837
HLA-G	P17693	False	HLA-G_HUMAN		CPI-SS05CE87F88	0.075	0.071	0.0	0.022	0.025	0.026	0.135
HLA-F	P30511	False	HLA-F_HUMAN		CPI-SS00150FB64	0.17	0.198	0.0	0.229	0.119	0.318	0.424
B2M	P61769	False	B2M_HUMAN		CPI-SS031B22200	3.726	3.915	2.518	3.832	3.212	4.008	4.414
CEACAM21	Q3KPI0	False	CEACAM21_HUMAN		CPI-SS0D2A3C3A5	0.0	0.01	0.0	0.005	0.002	0.005	0.0
HLA-C	P10321	False	HLA-C_HUMAN		CPI-SS0E816D4D6	1.834	1.969	0.947	1.982	1.23	2.012	2.101
HLA-B	P01889	False	HLA-B_HUMAN		CPI-SS03DA113B9	2.858	2.688	0.623	2.734	1.965	2.842	3.137
HLA-A	P04439	False	HLA-A_HUMAN		CPI-SS0C340928A	2.177	2.207	1.516	2.167	1.779	2.301	2.837
HLA-G	P17693	False	HLA-G_HUMAN		CPI-SS0DBA81CCF	0.075	0.071	0.0	0.022	0.025	0.026	0.135
HLA-F	P30511	False	HLA-F_HUMAN		CPI-SS0A76A8E97	0.17	0.198	0.0	0.229	0.119	0.318	0.424
B2M	P61769	False	B2M_HUMAN		CPI-SS064075393	3.726	3.915	2.518	3.832	3.212	4.008	4.414
CD33	P20138	False	CD33_HUMAN		CPI-SS08254A1FB	0.0	0.354	0.0	0.216	0.111	0.227	0.0
FCAR	P24071	False	FCAR_HUMAN		CPI-SS07EFD7995	0.034	0.0	0.0	0.107	0.003	0.108	0.0
SIGLEC15	Q6ZMC9	False	SIGLEC15_HUMAN		CPI-SS049511825	0.0	0.008	0.0	0.0	0.005	0.003	0.0
SIGLEC14	Q08ET2	False	SIGLEC14_HUMAN		CPI-SS07978E5BA	0.0	0.046	0.0	0.055	0.011	0.074	0.0
IFNGR1	P15260	False	IFNGR1_HUMAN		CPI-SS031DD0854	0.187	0.268	0.091	0.466	0.128	0.494	0.312
FCGRT	P55899	False	FCGRT_HUMAN		CPI-SS001AF75AA	0.23	1.267	0.09	1.198	0.096	1.323	0.052
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	0.0	0.264	0.0	0.248	0.0	0.213	0.0
IGF1	P05019	False	IGF1_HUMAN		CPI-SS012ED64B9	0.0	0.0	0.0	0.008	0.003	0.001	0.0
LRP6	O75581	False	LRP6_HUMAN		CPI-SS0ADD39BDD	0.0	0.0	0.054	0.021	0.043	0.015	0.0
WNT1	P04628	False	WNT1_HUMAN		CPI-SS04C3DF785	0.0	0.0	0.0	0.0	0.0	0.0	0.058
IGF1	P05019	False	IGF1_HUMAN		CPI-SS07608C650	0.0	0.0	0.0	0.008	0.003	0.001	0.0
PLAU	P00749	False	PLAU_HUMAN		CPI-SS09F05AC40	0.0	0.0	0.0	0.009	0.049	0.007	0.0
GZMB	P10144	False	GZMB_HUMAN		CPI-SS02F415E21	0.0	0.0	0.0	0.0	0.0	0.0	0.044
IGF1	P05019	False	IGF1_HUMAN		CPI-SS05620C1E1	0.0	0.0	0.0	0.008	0.003	0.001	0.0
IGF1	P05019	False	IGF1_HUMAN		CPI-SS03611915B	0.0	0.0	0.0	0.008	0.003	0.001	0.0
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0D951C39B	0.0	0.0	0.0	0.008	0.003	0.001	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS0C666EA18	0.296	0.446	0.57	0.529	0.311	0.514	0.195
THBS1	P07996	False	THBS1_HUMAN		CPI-SS08AF43615	0.128	0.025	0.0	0.062	0.023	0.051	0.071
INHBA	P08476	False	INHBA_HUMAN		CPI-SS0140B6B66	0.026	0.008	0.0	0.047	0.09	0.034	0.057
THBS1	P07996	False	THBS1_HUMAN		CPI-SS00B140AEF	0.128	0.025	0.0	0.062	0.023	0.051	0.071
INHBA	P08476	False	INHBA_HUMAN		CPI-SS0C5E8A856	0.026	0.008	0.0	0.047	0.09	0.034	0.057
TGFBR1	P36897	False	TGFBR1_HUMAN		CPI-SS0664896CF	0.068	0.114	0.0	0.069	0.053	0.075	0.0
ENG	P17813	False	ENG_HUMAN		CPI-SS05FE588BC	0.04	0.073	0.283	0.101	0.071	0.084	0.0
TGFBR2	P37173	False	TGFBR2_HUMAN		CPI-SS082BE21AF	0.293	0.23	0.231	0.124	0.099	0.156	0.158
PRSS2	P07478	False	PRSS2_HUMAN		CPI-SS0CFD95F10	0.0	0.0	0.0	0.0	0.002	0.001	0.0
CTSG	P08311	False	CTSG_HUMAN		CPI-SS09D75EE76	0.0	0.022	0.0	0.072	0.2	0.019	0.0
GZMA	P12544	False	GZMA_HUMAN		CPI-SS018FFAD1E	0.0	0.0	0.0	0.0	0.0	0.004	0.501
JAM2	P57087	False	JAM2_HUMAN		CPI-SS0A576FC27	0.0	0.0	0.0	0.008	0.012	0.003	0.0
F2R	P25116	False	F2R_HUMAN		CPI-SS0D466B5B7	0.032	0.0	0.0	0.016	0.068	0.016	0.217
TFPI	P10646	False	TFPI_HUMAN		CPI-SS032D02146	0.0	0.005	0.381	0.014	0.452	0.025	0.152
IL6	P05231	False	IL6_HUMAN		CPI-SS0EDE630FF	0.0	0.0	0.0	0.0	0.0	0.001	0.0
TFRC	P02786	False	TFRC_HUMAN		CPI-SS0A9262AB4	0.136	0.08	1.429	0.08	0.307	0.07	0.045
PLAUR	Q03405	False	PLAUR_HUMAN		CPI-SS0085E97CC	0.042	0.277	0.0	0.447	0.063	0.52	0.043
MMP2	P08253	False	MMP2_HUMAN		CPI-SS0E2C8EBE2	0.0	0.0	0.0	0.011	0.045	0.007	0.0
ITGA2B	P08514	False	ITGA2B_HUMAN		CPI-SS000104C64	0.03	0.0	0.0	0.003	0.02	0.001	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS06EE34C05	0.296	0.446	0.57	0.529	0.311	0.514	0.195
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS05AC5E0B1	0.029	0.058	0.0	0.043	0.055	0.059	0.0
SDC1	P18827	False	SDC1_HUMAN		CPI-SS06E3A69DB	0.0	0.0	0.0	0.0	0.0	0.001	0.0
ITGA2B	P08514	False	ITGA2B_HUMAN		CPI-SS0418F6DB9	0.03	0.0	0.0	0.003	0.02	0.001	0.0
ITGB2	P05107	False	ITGB2_HUMAN		CPI-SS0B5DE428E	0.063	1.129	0.0	1.344	0.27	1.391	0.197
ITGAL	P20701	False	ITGAL_HUMAN		CPI-SS0A6429389	0.028	0.267	0.0	0.389	0.042	0.388	0.056
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS0D666400C	0.296	0.446	0.57	0.529	0.311	0.514	0.195
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS0E07E9679	0.029	0.058	0.0	0.043	0.055	0.059	0.0
ITGAM	P11215	False	ITGAM_HUMAN		CPI-SS078C5DE13	0.074	0.156	0.0	0.447	0.008	0.423	0.075
ITGA4	P13612	False	ITGA4_HUMAN		CPI-SS05767306F	0.1	0.91	1.04	0.49	0.472	0.487	0.507
RHAG	Q02094	False	RHAG_HUMAN		CPI-SS0BDD0711F	0.01	0.0	1.956	0.0	0.002	0.001	0.0
ITGA2B	P08514	False	ITGA2B_HUMAN		CPI-SS08D57D62B	0.03	0.0	0.0	0.003	0.02	0.001	0.0
TSHR	P16473	False	TSHR_HUMAN		CPI-SS0CBAAD942	0.0	0.0	0.0	0.006	0.006	0.002	0.0
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS0DA5E7F58	0.029	0.058	0.0	0.043	0.055	0.059	0.0
ITGA3	P26006	False	ITGA3_HUMAN		CPI-SS088E6B256	0.055	0.0	0.0	0.0	0.0	0.003	0.0
VCAN	P13611	False	VCAN_HUMAN		CPI-SS010A0C5E6	0.145	0.708	0.0	2.662	0.04	2.911	0.09
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS0F4DDA4D0	0.296	0.446	0.57	0.529	0.311	0.514	0.195
ITGA5	P08648	False	ITGA5_HUMAN		CPI-SS02676F1C4	0.025	0.212	0.0	0.142	0.086	0.17	0.0
ITGB5	P18084	False	ITGB5_HUMAN		CPI-SS0A5585DB4	0.0	0.0	0.0	0.0	0.0	0.002	0.0
ITGA3	P26006	False	ITGA3_HUMAN		CPI-SS0210E2C96	0.055	0.0	0.0	0.0	0.0	0.003	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS07870C518	0.296	0.446	0.57	0.529	0.311	0.514	0.195
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS0A1EB6FC4	0.029	0.058	0.0	0.043	0.055	0.059	0.0
SDC4	P31431	False	SDC4_HUMAN		CPI-SS06B89E9B7	0.0	0.0	0.0	0.087	0.016	0.073	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS0FC9FE4DE	0.917	1.151	0.614	1.397	2.035	1.381	0.985
ITGA2	P17301	False	ITGA2_HUMAN		CPI-SS09AD61071	0.034	0.009	0.0	0.006	0.028	0.0	0.0
SDC1	P18827	False	SDC1_HUMAN		CPI-SS04EABFC2E	0.0	0.0	0.0	0.0	0.0	0.001	0.0
ITGA3	P26006	False	ITGA3_HUMAN		CPI-SS011F8D85E	0.055	0.0	0.0	0.0	0.0	0.003	0.0
ITGB8	P26012	False	ITGB8_HUMAN		CPI-SS02FC34980	0.033	0.0	0.0	0.0	0.0	0.014	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS04AA79930	0.296	0.446	0.57	0.529	0.311	0.514	0.195
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS0A716F848	0.029	0.058	0.0	0.043	0.055	0.059	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS0F40FA3E5	0.296	0.446	0.57	0.529	0.311	0.514	0.195
ITGA4	P13612	False	ITGA4_HUMAN		CPI-SS02454BF63	0.1	0.91	1.04	0.49	0.472	0.487	0.507
TBXA2R	P21731	False	TBXA2R_HUMAN		CPI-SS0D66A70B6	0.0	0.006	0.0	0.0	0.01	0.001	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS0F8E7964B	0.296	0.446	0.57	0.529	0.311	0.514	0.195
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS06F3838F5	0.029	0.058	0.0	0.043	0.055	0.059	0.0
ITGA5	P08648	False	ITGA5_HUMAN		CPI-SS0B3367EBC	0.025	0.212	0.0	0.142	0.086	0.17	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS04DDAE6B3	0.296	0.446	0.57	0.529	0.311	0.514	0.195
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS068AC4599	0.029	0.058	0.0	0.043	0.055	0.059	0.0
SDC4	P31431	False	SDC4_HUMAN		CPI-SS0008B8919	0.0	0.0	0.0	0.087	0.016	0.073	0.0
CD36	P16671	False	CD36_HUMAN		CPI-SS0D2CA1DBE	0.0	0.404	1.924	1.426	0.018	1.31	0.042
SDC1	P18827	False	SDC1_HUMAN		CPI-SS09915C539	0.0	0.0	0.0	0.0	0.0	0.001	0.0
ITGA3	P26006	False	ITGA3_HUMAN		CPI-SS0F47F627F	0.055	0.0	0.0	0.0	0.0	0.003	0.0
ITGB1	P05556	False	ITGB1_HUMAN		CPI-SS03DB73CF4	0.296	0.446	0.57	0.529	0.311	0.514	0.195
ITGAV	P06756	False	ITGAV_HUMAN		CPI-SS018B55242	0.029	0.058	0.0	0.043	0.055	0.059	0.0
ITGA5	P08648	False	ITGA5_HUMAN		CPI-SS03E414DE9	0.025	0.212	0.0	0.142	0.086	0.17	0.0
CD7	P09564	False	CD7_HUMAN		CPI-SS00264D5D1	0.0	0.029	0.0	0.009	0.015	0.016	0.398
ITGB5	P18084	False	ITGB5_HUMAN		CPI-SS034FD8FC5	0.0	0.0	0.0	0.0	0.0	0.002	0.0
ITGB5	P18084	False	ITGB5_HUMAN		CPI-SS07240E55A	0.0	0.0	0.0	0.0	0.0	0.002	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS06C2F25F0	0.0	0.0	0.0	0.025	0.0	0.012	0.0
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0E64BD55B	0.0	0.0	0.0	0.0	0.0	0.001	0.0
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0A1473279	0.0	0.0	0.0	0.0	0.0	0.001	0.0
LTA	P01374	False	LTA_HUMAN		CPI-SS0110361CB	0.071	0.0	0.0	0.005	0.002	0.001	0.0
MIF	P14174	False	MIF_HUMAN		CPI-SS02ACCF1F7	1.34	1.327	0.614	1.317	2.013	1.188	1.481
FCAR	P24071	False	FCAR_HUMAN		CPI-SS0DE1E788C	0.034	0.0	0.0	0.107	0.003	0.108	0.0
TNFSF14	O43557	False	TNFSF14_HUMAN		CPI-SS019C98396	0.0	0.007	0.0	0.008	0.0	0.003	0.0
TNFSF13	O75888	False	TNFSF13_HUMAN		CPI-SS0C28FEC7D	0.0	0.167	0.0	0.323	0.081	0.271	0.0
CD160	O95971	False	CD160_HUMAN		CPI-SS0879B8E95	0.0	0.0	0.0	0.0	0.005	0.001	0.059
BTLA	Q7Z6A9	False	BTLA_HUMAN		CPI-SS08330207B	0.081	0.0	0.0	0.0	0.0	0.001	0.0
LTA	P01374	False	LTA_HUMAN		CPI-SS0D5C54214	0.071	0.0	0.0	0.005	0.002	0.001	0.0
TNF	P01375	False	TNF_HUMAN		CPI-SS048A2311A	0.039	0.008	0.0	0.047	0.004	0.056	0.0
UBA52	P62987	False	UBA52_HUMAN		CPI-SS0A970441B	3.098	3.199	2.437	3.016	2.967	2.976	3.173
UBB	P0CG47	False	UBB_HUMAN		CPI-SS060ED8A2C	1.626	1.391	2.166	1.295	1.804	1.203	1.66
UBC	P0CG48	False	UBC_HUMAN		CPI-SS058C922AB	2.991	2.533	1.803	2.7	2.042	2.864	2.232
RPS27A	P62979	False	RPS27A_HUMAN		CPI-SS0B4F2B280	4.136	3.93	2.78	3.546	4.223	3.488	4.23
CD14	P08571	False	CD14_HUMAN		CPI-SS05122F825	0.08	0.072	0.0	0.575	0.031	0.754	0.0
TNFSF10	P50591	False	TNFSF10_HUMAN		CPI-SS0DEDA3567	0.0	0.114	0.0	0.134	0.036	0.126	0.0
LTA	P01374	False	LTA_HUMAN		CPI-SS03156A825	0.071	0.0	0.0	0.005	0.002	0.001	0.0
TNF	P01375	False	TNF_HUMAN		CPI-SS00D2C6F8C	0.039	0.008	0.0	0.047	0.004	0.056	0.0
TNFSF14	O43557	False	TNFSF14_HUMAN		CPI-SS0859C173B	0.0	0.007	0.0	0.008	0.0	0.003	0.0
LTA	P01374	False	LTA_HUMAN		CPI-SS084BE3E4B	0.071	0.0	0.0	0.005	0.002	0.001	0.0
TNF	P01375	False	TNF_HUMAN		CPI-SS04B4619D0	0.039	0.008	0.0	0.047	0.004	0.056	0.0
TNFSF13	O75888	False	TNFSF13_HUMAN		CPI-SS0F9B3B259	0.0	0.167	0.0	0.323	0.081	0.271	0.0
LTA	P01374	False	LTA_HUMAN		CPI-SS07D9A48A2	0.071	0.0	0.0	0.005	0.002	0.001	0.0
TNF	P01375	False	TNF_HUMAN		CPI-SS0E7D5974D	0.039	0.008	0.0	0.047	0.004	0.056	0.0
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0A8235820	0.038	0.0	0.0	0.008	0.0	0.003	0.0
MIF	P14174	False	MIF_HUMAN		CPI-SS059EEFDC6	1.34	1.327	0.614	1.317	2.013	1.188	1.481
TNFSF10	P50591	False	TNFSF10_HUMAN		CPI-SS095E52E66	0.0	0.114	0.0	0.134	0.036	0.126	0.0
TP53	P04637	False	TP53_HUMAN		CPI-SS089919C73	0.0	0.116	0.0	0.067	0.13	0.037	0.0
CD74	P04233	False	CD74_HUMAN		CPI-SS09808DEAE	3.07	4.038	0.292	2.535	2.048	2.454	1.106
LRP6	O75581	False	LRP6_HUMAN		CPI-SS050E406C1	0.0	0.0	0.054	0.021	0.043	0.015	0.0
TNFRSF21	O75509	False	TNFRSF21_HUMAN		CPI-SS0A0718AC5	0.0	0.024	0.0	0.013	0.007	0.008	0.0
TSPAN15	O95858	False	TSPAN15_HUMAN		CPI-SS02DA0DC71	0.0	0.0	0.0	0.008	0.0	0.0	0.0
CD74	P04233	False	CD74_HUMAN		CPI-SS0302E8E8F	3.07	4.038	0.292	2.535	2.048	2.454	1.106
TSHR	P16473	False	TSHR_HUMAN		CPI-SS0EF0CA221	0.0	0.0	0.0	0.006	0.006	0.002	0.0
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS0B3FE277C	0.0	0.009	0.0	0.027	0.0	0.036	0.064
ACKR3	P25106	False	ACKR3_HUMAN		CPI-SS07E25B12B	0.0	0.015	0.0	0.018	0.002	0.018	0.0
RAMP1	O60894	False	RAMP1_HUMAN		CPI-SS05EA532DE	0.035	0.029	0.0	0.044	0.034	0.03	0.153
VIPR1	P32241	False	VIPR1_HUMAN		CPI-SS05D25D2ED	0.0	0.0	0.0	0.0	0.0	0.009	0.0
TSHR	P16473	False	TSHR_HUMAN		CPI-SS0E54AA9C4	0.0	0.0	0.0	0.006	0.006	0.002	0.0
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS052C34032	0.0	0.009	0.0	0.027	0.0	0.036	0.064
ADCY9	O60503	False	ADCY9_HUMAN		CPI-SS05D26939F	0.0	0.025	0.0	0.04	0.014	0.014	0.0
VIPR1	P32241	False	VIPR1_HUMAN		CPI-SS0AF695D85	0.0	0.0	0.0	0.0	0.0	0.009	0.0
PTGIR	P43119	False	PTGIR_HUMAN		CPI-SS09F9446C7	0.0	0.042	0.0	0.095	0.034	0.101	0.0
ADCY7	P51828	False	ADCY7_HUMAN		CPI-SS088EBBFD8	0.0	0.22	0.145	0.214	0.035	0.176	0.058
PTGDR	Q13258	False	PTGDR_HUMAN		CPI-SS0B14D8296	0.0	0.0	0.0	0.0	0.0	0.0	0.059
TSHR	P16473	False	TSHR_HUMAN		CPI-SS0BE6F508B	0.0	0.0	0.0	0.006	0.006	0.002	0.0
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS0A69C5B06	0.0	0.009	0.0	0.027	0.0	0.036	0.064
VIPR1	P32241	False	VIPR1_HUMAN		CPI-SS0CE2CC883	0.0	0.0	0.0	0.0	0.0	0.009	0.0
TSHR	P16473	False	TSHR_HUMAN		CPI-SS0FFD3016F	0.0	0.0	0.0	0.006	0.006	0.002	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0	0.0	0.0	0.017	0.021	0.006	0.0
HLA-DPA1	P20036	False	HLA-DPA1_HUMAN		CPI-SS02AB83042	1.569	3.293	0.185	1.189	1.334	0.991	0.32
FZD6	O60353	False	FZD6_HUMAN		CPI-SS0E1AA36D0	0.08	0.031	0.0	0.034	0.064	0.022	0.0
LRP5	O75197	False	LRP5_HUMAN		CPI-SS06FD42D0B	0.0	0.0	0.0	0.012	0.014	0.001	0.0
LRP6	O75581	False	LRP6_HUMAN		CPI-SS0DADDCAAB	0.0	0.0	0.054	0.021	0.043	0.015	0.0
FZD6	O60353	False	FZD6_HUMAN		CPI-SS048DE1C0C	0.08	0.031	0.0	0.034	0.064	0.022	0.0
WNT1	P04628	False	WNT1_HUMAN		CPI-SS0D8972B21	0.0	0.0	0.0	0.0	0.0	0.0	0.058
FZD6	O60353	False	FZD6_HUMAN		CPI-SS08C4DF501	0.08	0.031	0.0	0.034	0.064	0.022	0.0
FZD6	O60353	False	FZD6_HUMAN		CPI-SS0E06D9A6F	0.08	0.031	0.0	0.034	0.064	0.022	0.0
WNT1	P04628	False	WNT1_HUMAN		CPI-SS00A6240B6	0.0	0.0	0.0	0.0	0.0	0.0	0.058
FZD6	O60353	False	FZD6_HUMAN		CPI-SS0D630E902	0.08	0.031	0.0	0.034	0.064	0.022	0.0
LRP5	O75197	False	LRP5_HUMAN		CPI-SS0C6A5AD15	0.0	0.0	0.0	0.012	0.014	0.001	0.0
LRP6	O75581	False	LRP6_HUMAN		CPI-SS01DBBEFD2	0.0	0.0	0.054	0.021	0.043	0.015	0.0
FZD5	Q13467	False	FZD5_HUMAN		CPI-SS01073ED66	0.0	0.0	0.117	0.0	0.002	0.009	0.0
FZD2	Q14332	False	FZD2_HUMAN		CPI-SS08378307C	0.0	0.016	0.0	0.029	0.0	0.006	0.0
IGFBP4	P22692	False	IGFBP4_HUMAN		CPI-SS0B9663C84	0.041	0.0	0.0	0.006	0.0	0.006	0.0
SERPINF1	P36955	False	SERPINF1_HUMAN		CPI-SS0522B1815	0.0	0.13	0.0	0.029	0.0	0.001	0.0
DRAXIN	Q8NBI3	False	DRAXIN_HUMAN		CPI-SS071960FBF	0.0	0.007	0.0	0.015	0.0	0.0	0.0
FZD6	O60353	False	FZD6_HUMAN		CPI-SS03169D2B9	0.08	0.031	0.0	0.034	0.064	0.022	0.0
LRP5	O75197	False	LRP5_HUMAN		CPI-SS06A674E34	0.0	0.0	0.0	0.012	0.014	0.001	0.0
LRP6	O75581	False	LRP6_HUMAN		CPI-SS0A69632CE	0.0	0.0	0.054	0.021	0.043	0.015	0.0
FZD5	Q13467	False	FZD5_HUMAN		CPI-SS060151AAC	0.0	0.0	0.117	0.0	0.002	0.009	0.0
FZD2	Q14332	False	FZD2_HUMAN		CPI-SS0C590FAAF	0.0	0.016	0.0	0.029	0.0	0.006	0.0
IGFBP4	P22692	False	IGFBP4_HUMAN		CPI-SS071D39DCD	0.041	0.0	0.0	0.006	0.0	0.006	0.0
SERPINF1	P36955	False	SERPINF1_HUMAN		CPI-SS05EEE1D11	0.0	0.13	0.0	0.029	0.0	0.001	0.0
DRAXIN	Q8NBI3	False	DRAXIN_HUMAN		CPI-SS029820CA1	0.0	0.007	0.0	0.015	0.0	0.0	0.0
LRP5	O75197	False	LRP5_HUMAN		CPI-SS0E9B4FE35	0.0	0.0	0.0	0.012	0.014	0.001	0.0
LRP6	O75581	False	LRP6_HUMAN		CPI-SS029F40481	0.0	0.0	0.054	0.021	0.043	0.015	0.0
FZD5	Q13467	False	FZD5_HUMAN		CPI-SS0AFE1D0FB	0.0	0.0	0.117	0.0	0.002	0.009	0.0
FZD2	Q14332	False	FZD2_HUMAN		CPI-SS0358DF83A	0.0	0.016	0.0	0.029	0.0	0.006	0.0
IGFBP4	P22692	False	IGFBP4_HUMAN		CPI-SS0D2FA7BC5	0.041	0.0	0.0	0.006	0.0	0.006	0.0
SERPINF1	P36955	False	SERPINF1_HUMAN		CPI-SS0F7F923D9	0.0	0.13	0.0	0.029	0.0	0.001	0.0
DRAXIN	Q8NBI3	False	DRAXIN_HUMAN		CPI-SS00B969D21	0.0	0.007	0.0	0.015	0.0	0.0	0.0
PORCN	Q9H237	False	PORCN_HUMAN		CPI-SS040FCBB26	0.0	0.011	0.0	0.025	0.021	0.012	0.065
FZD3	Q9NPG1	False	FZD3_HUMAN		CPI-SS06901C9E0	0.243	0.023	0.0	0.04	0.055	0.018	0.0
FZD1	Q9UP38	False	FZD1_HUMAN		CPI-SS073442A2D	0.0	0.014	0.0	0.02	0.013	0.013	0.0
ERBB2	P04626	False	ERBB2_HUMAN		CPI-SS0C6DB992E	0.0	0.0	0.0	0.005	0.012	0.001	0.0
CD300C	Q08708	False	CD300C_HUMAN		CPI-SS01FFCE2D9	0.0	0.1	0.0	0.056	0.005	0.104	0.0
FZD6	O60353	False	FZD6_HUMAN		CPI-SS0ED7CAD7C	0.08	0.031	0.0	0.034	0.064	0.022	0.0
FZD5	Q13467	False	FZD5_HUMAN		CPI-SS0EB9C8E51	0.0	0.0	0.117	0.0	0.002	0.009	0.0
ROR2	Q01974	False	ROR2_HUMAN		CPI-SS0C97CF73D	0.0	0.0	0.0	0.0	0.0	0.002	0.0
FZD6	O60353	False	FZD6_HUMAN		CPI-SS097E058DD	0.08	0.031	0.0	0.034	0.064	0.022	0.0
LRP6	O75581	False	LRP6_HUMAN		CPI-SS02AD61190	0.0	0.0	0.054	0.021	0.043	0.015	0.0
FZD5	Q13467	False	FZD5_HUMAN		CPI-SS009C63269	0.0	0.0	0.117	0.0	0.002	0.009	0.0
FZD2	Q14332	False	FZD2_HUMAN		CPI-SS09DB61E97	0.0	0.016	0.0	0.029	0.0	0.006	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0	0.0	0.0	0.017	0.021	0.006	0.0
